,SnapId,2080020,2080021,2080022,2080023,2080024,2080025,2080026,2080027,2080028,2080029,2080030,2080031,2080032,2080033,2080034,2080040,2080041,2080042,2080043,2080044,2080045,2080046,2080047,2080048,2080049,2080050,2080051,2080052,2080053,2080054,2080055,2080056,2080057,2080058,2080059,2080060,2080061,2080062,2080063,2080064,2080065,LoadScore,LoadLevel,PerfScore,PerfLevel
36,41,452.9,4.5,0,0,1.1,0.9,0.2,0.4,0.0,0.0,0,0.8,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,51,172.9,100.0,100,98.37,98.1,100.0,88.89,89.74,250.86,20.52,0.0,0.0,18.26,0.0,4.27,100.0,0,31,D,88,B
37,42,378.9,2.6,0,0,2.3,1.0,0.7,0.6,0.0,0.0,0,1.0,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,10,0,50,103.1,100.0,100,99.85,99.77,100.0,100.0,98.35,48.27,15.16,0.0,0.0,17.18,0.0,4.0,0.0,0,34,D,87,B
38,43,367.1,2.7,0,0,1.1,0.9,0.2,0.4,0.0,0.0,0,0.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,184.0,100.0,100,99.78,99.61,100.0,200.0,91.89,282.73,15.01,0.0,0.0,17.01,0.0,2.94,0.0,0,31,D,90,A
39,44,5125.2,367.1,0,0,2.3,1.3,0.5,4.9,0.4,0.2,0,23.1,0.1,2.0,0,0,0,0,0,0.04,0.03,4,0,54,59.1,99.91,100,93.07,91.5,99.94,69.95,91.38,47.03,57.91,76.31,0.0,22.36,8.92,9.13,0.0,0,48,D,74,C
40,45,2920.7,123.6,0,0,1.9,1.3,0.3,3.1,0.3,0.0,0,7.7,0.0,1.4,0,0,0,0,0,0.07,0.02,59,0,40,36.7,99.98,100,90.66,90.59,99.98,96.88,74.52,39.15,57.5,46.9,0.0,32.62,3.54,11.71,100.0,0,43,D,67,C
41,46,767.5,5.5,0,0,1.1,0.9,0.2,0.5,0.0,0.0,0,1.1,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,155.9,100.0,100,93.31,92.5,100.0,106.25,54.05,263.96,13.02,0.0,0.0,10.32,0.0,5.54,0.0,0,31,D,89,B
42,47,391.0,3.8,0,0,8.2,1.4,1.4,1.0,0.0,0.0,0,1.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,11,0,52,86.6,100.0,100,97.51,97.65,99.98,70.0,93.99,21.05,16.35,0.0,0.0,11.98,0.0,3.54,0.0,0,35,D,83,B
43,48,395.0,3.8,0,0,1.1,0.9,0.1,0.4,0.0,0.0,0,1.0,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,52,163.7,99.99,100,96.56,96.53,100.02,101.32,-54.0,368.85,15.07,0.0,0.0,11.73,0.0,4.07,0.0,0,31,D,89,B
44,49,3941.3,160.3,0,0,3.3,1.7,0.1,9.6,0.9,0.0,0,18.1,0.4,1.0629502572898797,0,0,0,0,0,0.01,0.01,1,1,27,96.0,100.0,100,96.6,90.67,99.99,99.5,-374.37,748.59,81.18,96.68,0.0,9.7,68.05,27.88,100.0,0,47,D,89,B
45,50,576.0,7.1,0,0,1.1,0.9,0.1,0.7,0.0,0.0,0,1.6,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,1,0,48,155.3,100.0,100,91.65,93.55,100.0,108.0,52.63,306.31,25.76,0.0,0.0,7.73,0.0,4.3,0.0,0,31,D,90,B
46,51,353.6,2.7,0,0,1.1,0.9,0.1,0.3,0.0,0.0,0,0.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,51,168.8,100.0,100,99.89,99.76,99.99,400.0,92.59,349.96,14.77,0.0,0.0,16.55,0.0,3.9,0.0,0,31,D,90,A
47,52,373.9,3.0,0,0,2.3,1.0,0.6,0.6,0.0,0.0,0,1.1,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,10,0,51,99.5,100.0,100,94.91,95.0,99.99,93.67,75.33,37.37,13.47,0.0,0.0,15.26,0.0,6.68,100.0,0,34,D,85,B
48,53,396.0,4.3,0,0,1.1,0.9,0.1,0.4,0.0,0.0,0,0.8,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,49,154.2,100.0,100,99.58,99.41,100.0,33.33,98.04,340.53,21.18,0.0,0.0,18.59,0.0,5.63,100.0,0,31,D,89,B
